"subject","activity","variable","average"
1,"LAYING","fBodyAcc-mad()-X",-0.9357414446
1,"SITTING","fBodyAcc-mad()-X",-0.978895990425532
1,"STANDING","fBodyAcc-mad()-X",-0.995596712264151
1,"WALKING","fBodyAcc-mad()-X",-0.172027648052632
1,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.0728995783367347
1,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.344288335471698
2,"LAYING","fBodyAcc-mad()-X",-0.9771644075
2,"SITTING","fBodyAcc-mad()-X",-0.987225959347826
2,"STANDING","fBodyAcc-mad()-X",-0.986673613518519
2,"WALKING","fBodyAcc-mad()-X",-0.352915676271186
2,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.138076920840426
2,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.2710237351875
3,"LAYING","fBodyAcc-mad()-X",-0.981461533870968
3,"SITTING","fBodyAcc-mad()-X",-0.970738717884615
3,"STANDING","fBodyAcc-mad()-X",-0.961274640983607
3,"WALKING","fBodyAcc-mad()-X",-0.285565462586207
3,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.000295666735510202
3,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.327441936101695
4,"LAYING","fBodyAcc-mad()-X",-0.958852738333333
4,"SITTING","fBodyAcc-mad()-X",-0.9798656784
4,"STANDING","fBodyAcc-mad()-X",-0.977281189821429
4,"WALKING","fBodyAcc-mad()-X",-0.415414538
4,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",-0.03707036958
4,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.207229546557692
5,"LAYING","fBodyAcc-mad()-X",-0.968811490192308
5,"SITTING","fBodyAcc-mad()-X",-0.977702165909091
5,"STANDING","fBodyAcc-mad()-X",-0.96551539125
5,"WALKING","fBodyAcc-mad()-X",-0.234254364875
5,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.243565883148936
5,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.0555081922204255
6,"LAYING","fBodyAcc-mad()-X",-0.937564390877193
6,"SITTING","fBodyAcc-mad()-X",-0.975962752181818
6,"STANDING","fBodyAcc-mad()-X",-0.979017208245614
6,"WALKING","fBodyAcc-mad()-X",-0.184605665839474
6,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.447506791041667
6,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.00763725503137255
7,"LAYING","fBodyAcc-mad()-X",-0.949373705
7,"SITTING","fBodyAcc-mad()-X",-0.9727493075
7,"STANDING","fBodyAcc-mad()-X",-0.976703970754717
7,"WALKING","fBodyAcc-mad()-X",-0.302125666245614
7,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.15450466017
7,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.259687715845098
8,"LAYING","fBodyAcc-mad()-X",-0.951487882222222
8,"SITTING","fBodyAcc-mad()-X",-0.980289074347826
8,"STANDING","fBodyAcc-mad()-X",-0.988512353333333
8,"WALKING","fBodyAcc-mad()-X",-0.169019711895833
8,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.156867500110526
8,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.145795859663415
9,"LAYING","fBodyAcc-mad()-X",-0.9429711056
9,"SITTING","fBodyAcc-mad()-X",-0.9580718066
9,"STANDING","fBodyAcc-mad()-X",-0.970062013111111
9,"WALKING","fBodyAcc-mad()-X",-0.203955246984615
9,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.259879249197619
9,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.261493769693878
10,"LAYING","fBodyAcc-mad()-X",-0.967564717068966
10,"SITTING","fBodyAcc-mad()-X",-0.98407962037037
10,"STANDING","fBodyAcc-mad()-X",-0.976627932727273
10,"WALKING","fBodyAcc-mad()-X",-0.0656030473007547
10,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.286956700894737
10,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.109265107006383
11,"LAYING","fBodyAcc-mad()-X",-0.98465262245614
11,"SITTING","fBodyAcc-mad()-X",-0.981194294339623
11,"STANDING","fBodyAcc-mad()-X",-0.994553895744681
11,"WALKING","fBodyAcc-mad()-X",-0.33396599779661
11,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.128395497763043
11,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.248563307314815
